File Name,rxn00009.csv
Date,2022-05-12 18:10:19

[DATA]
time (s),oxy1_voltage (V),oxy1_O2 (%),oxy1_temp_voltage (V),oxy1_temp (C),oxy2_voltage (V),oxy2_O2 (%),oxy2_temp_voltage (V),oxy2_temp (C),bme_temp (C),pressure (kPa),humidity (%),flow1_voltage (V),flow1_flow (mL/min),flow2_voltage (V),flow2_flow (mL/min),PV (C),SV (C),Control Method,Output,PID profile,PID SV,P,I,D
1652379029,0.052000,21.32,1.023000,23.14,0.049266,20.17,1.030000,22.92,21.30,100.16,53.83,2.856445,57.53,2.709961,271.41,0.00,0.00,0,0,0,0.00,0,0,0
1652379039,0.051984,21.32,1.024375,23.10,0.049266,20.17,1.029125,22.95,21.30,100.17,53.82,1.674805,33.78,1.562500,160.47,0.00,0.00,0,0,0,0.00,0,0,0
1652379049,0.051969,21.31,1.025625,23.06,0.049250,20.17,1.027875,22.99,21.30,100.15,49.57,2.690430,54.20,2.548828,255.83,0.00,0.00,0,0,0,0.00,0,0,0
1652379059,0.051953,21.30,1.026125,23.04,0.049250,20.16,1.025500,23.06,21.32,100.17,38.36,2.700195,54.39,2.519531,253.00,0.00,0.00,0,0,0,0.00,0,0,0
1652379069,0.051938,21.29,1.026625,23.03,0.049266,20.17,1.023625,23.12,21.35,100.20,35.73,1.645508,33.19,1.557617,160.00,0.00,0.00,0,0,0,0.00,0,0,0
1652379079,0.051953,21.31,1.026625,23.03,0.049266,20.18,1.021750,23.18,21.39,100.13,32.55,2.661133,53.61,2.509766,252.05,0.00,0.00,0,0,0,0.00,0,0,0
1652379089,0.051938,21.31,1.027000,23.02,0.049266,20.18,1.021125,23.20,21.42,100.11,29.17,1.713867,34.56,1.601562,164.25,0.00,0.00,0,0,0,0.00,0,0,0
1652379099,0.051969,21.32,1.027250,23.01,0.049281,20.19,1.020250,23.23,21.46,100.10,25.93,2.578125,51.94,2.421875,243.55,0.00,0.00,0,0,0,0.00,0,0,0
1652379109,0.051984,21.33,1.027250,23.01,0.049297,20.20,1.019875,23.24,21.49,100.11,23.11,2.700195,54.39,2.519531,253.00,0.00,0.00,0,0,0,0.00,0,0,0
1652379119,0.052000,21.33,1.027250,23.01,0.049328,20.21,1.019375,23.26,21.52,100.12,20.91,2.001953,40.36,1.835937,186.91,0.00,0.00,0,0,0,0.00,0,0,0
1652379129,0.052031,21.34,1.027500,23.00,0.049391,20.23,1.019000,23.27,21.55,100.12,19.05,1.621094,32.70,1.533203,157.64,0.00,0.00,0,0,0,0.00,0,0,0
1652379139,0.052047,21.35,1.027500,23.00,0.049437,20.25,1.018500,23.29,21.58,100.13,17.37,1.748047,35.25,1.630859,167.08,0.00,0.00,0,0,0,0.00,0,0,0
