,oxy1_adc,mV0_1,oxy2_adc,mV0_2
0,139,0.002172,130,0.002031
1,137,0.002141,129,0.002016
2,137,0.002141,130,0.002031
3,137,0.002141,130,0.002031
4,137,0.002141,130,0.002031
5,137,0.002141,129,0.002016
6,137,0.002141,130,0.002031
7,135,0.002109,129,0.002016
8,136,0.002125,129,0.002016
9,136,0.002125,130,0.002031
10,136,0.002125,130,0.002031
11,136,0.002125,129,0.002016
12,135,0.002109,129,0.002016
13,136,0.002125,129,0.002016
14,135,0.002109,128,0.002
15,135,0.002109,128,0.002
16,135,0.002109,129,0.002016
17,134,0.002094,128,0.002
18,135,0.002109,128,0.002
19,134,0.002094,127,0.001984
20,135,0.002109,127,0.001984
21,134,0.002094,127,0.001984
22,134,0.002094,127,0.001984
23,133,0.002078,126,0.001969
24,133,0.002078,126,0.001969
25,133,0.002078,126,0.001969
26,134,0.002094,127,0.001984
27,133,0.002078,127,0.001984
28,133,0.002078,126,0.001969
29,133,0.002078,126,0.001969
30,132,0.002062,126,0.001969
31,131,0.002047,126,0.001969
32,132,0.002062,125,0.001953
33,132,0.002062,126,0.001969
34,133,0.002078,125,0.001953
35,132,0.002062,124,0.001938
36,131,0.002047,126,0.001969
37,132,0.002062,125,0.001953
38,132,0.002062,125,0.001953
39,131,0.002047,124,0.001938
40,132,0.002062,125,0.001953
41,131,0.002047,125,0.001953
42,131,0.002047,124,0.001938
43,131,0.002047,124,0.001938
44,132,0.002062,126,0.001969
45,132,0.002062,124,0.001938
46,130,0.002031,124,0.001938
47,131,0.002047,124,0.001938
48,131,0.002047,124,0.001938
49,130,0.002031,124,0.001938
50,130,0.002031,124,0.001938
51,129,0.002016,124,0.001938
52,130,0.002031,124,0.001938
53,130,0.002031,124,0.001938
54,129,0.002016,123,0.001922
55,130,0.002031,123,0.001922
56,130,0.002031,123,0.001922
57,129,0.002016,122,0.001906
58,130,0.002031,122,0.001906
59,130,0.002031,122,0.001906
60,129,0.002016,123,0.001922
61,128,0.002,123,0.001922
62,129,0.002016,123,0.001922
63,129,0.002016,123,0.001922
64,129,0.002016,123,0.001922
65,128,0.002,123,0.001922
66,128,0.002,123,0.001922
67,128,0.002,122,0.001906
68,128,0.002,123,0.001922
69,129,0.002016,123,0.001922
70,128,0.002,122,0.001906
71,128,0.002,122,0.001906
72,128,0.002,122,0.001906
73,127,0.001984,122,0.001906
74,127,0.001984,123,0.001922
75,128,0.002,122,0.001906
76,128,0.002,121,0.001891
77,128,0.002,122,0.001906
78,126,0.001969,122,0.001906
79,127,0.001984,122,0.001906
80,127,0.001984,121,0.001891
81,127,0.001984,122,0.001906
82,127,0.001984,121,0.001891
83,127,0.001984,122,0.001906
84,127,0.001984,121,0.001891
85,127,0.001984,121,0.001891
86,127,0.001984,122,0.001906
87,126,0.001969,121,0.001891
88,127,0.001984,121,0.001891
89,127,0.001984,121,0.001891
90,126,0.001969,121,0.001891
91,125,0.001953,121,0.001891
92,126,0.001969,120,0.001875
93,125,0.001953,121,0.001891
94,126,0.001969,122,0.001906
95,125,0.001953,121,0.001891
96,126,0.001969,121,0.001891
97,124,0.001938,119,0.001859
98,126,0.001969,120,0.001875
99,125,0.001953,120,0.001875
100,125,0.001953,121,0.001891
101,125,0.001953,120,0.001875
102,125,0.001953,119,0.001859
103,126,0.001969,120,0.001875
104,125,0.001953,120,0.001875
105,125,0.001953,120,0.001875
106,125,0.001953,121,0.001891
107,124,0.001938,120,0.001875
108,124,0.001938,120,0.001875
109,124,0.001938,120,0.001875
110,125,0.001953,119,0.001859
111,124,0.001938,119,0.001859
112,124,0.001938,119,0.001859
113,124,0.001938,119,0.001859
114,125,0.001953,119,0.001859
115,124,0.001938,120,0.001875
116,124,0.001938,120,0.001875
117,125,0.001953,119,0.001859
118,124,0.001938,118,0.001844
119,124,0.001938,120,0.001875
120,124,0.001938,119,0.001859
121,124,0.001938,119,0.001859
122,123,0.001922,119,0.001859
123,124,0.001938,118,0.001844
124,123,0.001922,120,0.001875
125,123,0.001922,119,0.001859
126,123,0.001922,118,0.001844
127,123,0.001922,118,0.001844
128,124,0.001938,119,0.001859
129,123,0.001922,120,0.001875
130,122,0.001906,120,0.001875
131,123,0.001922,119,0.001859
132,122,0.001906,118,0.001844
133,122,0.001906,119,0.001859
134,123,0.001922,118,0.001844
135,123,0.001922,119,0.001859
136,122,0.001906,119,0.001859
137,122,0.001906,117,0.001828
138,123,0.001922,118,0.001844
139,123,0.001922,119,0.001859
140,122,0.001906,119,0.001859
141,123,0.001922,118,0.001844
142,123,0.001922,118,0.001844
143,123,0.001922,119,0.001859
144,123,0.001922,118,0.001844
145,123,0.001922,118,0.001844
146,121,0.001891,117,0.001828
147,122,0.001906,118,0.001844
148,122,0.001906,118,0.001844
149,122,0.001906,117,0.001828
150,122,0.001906,117,0.001828
151,122,0.001906,117,0.001828
152,122,0.001906,117,0.001828
153,122,0.001906,117,0.001828
154,122,0.001906,116,0.001813
155,122,0.001906,117,0.001828
156,121,0.001891,117,0.001828
157,121,0.001891,118,0.001844
158,122,0.001906,117,0.001828
159,121,0.001891,117,0.001828
160,122,0.001906,118,0.001844
161,122,0.001906,117,0.001828
162,121,0.001891,117,0.001828
163,121,0.001891,116,0.001813
164,121,0.001891,117,0.001828
165,120,0.001875,117,0.001828
166,121,0.001891,117,0.001828
167,121,0.001891,116,0.001813
168,121,0.001891,116,0.001813
169,120,0.001875,116,0.001813
170,121,0.001891,117,0.001828
171,119,0.001859,116,0.001813
172,120,0.001875,115,0.001797
173,120,0.001875,116,0.001813
174,120,0.001875,116,0.001813
175,120,0.001875,116,0.001813
176,121,0.001891,116,0.001813
177,120,0.001875,116,0.001813
178,120,0.001875,115,0.001797
179,120,0.001875,117,0.001828
180,120,0.001875,116,0.001813
181,120,0.001875,116,0.001813
182,119,0.001859,115,0.001797
183,120,0.001875,116,0.001813
184,119,0.001859,116,0.001813
185,119,0.001859,116,0.001813
186,120,0.001875,116,0.001813
187,120,0.001875,117,0.001828
188,119,0.001859,115,0.001797
189,119,0.001859,116,0.001813
190,119,0.001859,116,0.001813
191,119,0.001859,116,0.001813
192,119,0.001859,115,0.001797
193,120,0.001875,115,0.001797
194,119,0.001859,115,0.001797
195,119,0.001859,115,0.001797
196,119,0.001859,116,0.001813
197,119,0.001859,115,0.001797
198,119,0.001859,115,0.001797
199,119,0.001859,115,0.001797
200,118,0.001844,115,0.001797
201,118,0.001844,116,0.001813
202,118,0.001844,116,0.001813
203,119,0.001859,114,0.001781
204,118,0.001844,115,0.001797
205,117,0.001828,115,0.001797
206,118,0.001844,116,0.001813
207,118,0.001844,115,0.001797
208,117,0.001828,114,0.001781
209,119,0.001859,115,0.001797
210,118,0.001844,114,0.001781
211,118,0.001844,114,0.001781
212,118,0.001844,115,0.001797
213,118,0.001844,115,0.001797
214,119,0.001859,115,0.001797
215,118,0.001844,114,0.001781
216,117,0.001828,114,0.001781
217,118,0.001844,114,0.001781
218,118,0.001844,114,0.001781
219,117,0.001828,114,0.001781
220,118,0.001844,115,0.001797
221,117,0.001828,115,0.001797
222,117,0.001828,115,0.001797
223,117,0.001828,114,0.001781
224,118,0.001844,114,0.001781
225,118,0.001844,115,0.001797
226,117,0.001828,115,0.001797
227,118,0.001844,115,0.001797
228,117,0.001828,114,0.001781
229,116,0.001813,114,0.001781
230,117,0.001828,114,0.001781
231,117,0.001828,113,0.001766
232,117,0.001828,114,0.001781
233,117,0.001828,114,0.001781
234,117,0.001828,114,0.001781
235,117,0.001828,115,0.001797
236,117,0.001828,113,0.001766
237,116,0.001813,114,0.001781
238,116,0.001813,114,0.001781
239,117,0.001828,114,0.001781
240,117,0.001828,115,0.001797
241,117,0.001828,115,0.001797
242,118,0.001844,114,0.001781
243,118,0.001844,114,0.001781
244,116,0.001813,114,0.001781
245,116,0.001813,114,0.001781
246,118,0.001844,114,0.001781
247,117,0.001828,114,0.001781
248,117,0.001828,113,0.001766
249,117,0.001828,113,0.001766
250,117,0.001828,115,0.001797
251,118,0.001844,113,0.001766
252,116,0.001813,112,0.00175
253,116,0.001813,113,0.001766
254,116,0.001813,113,0.001766
255,116,0.001813,112,0.00175
256,117,0.001828,113,0.001766
257,116,0.001813,112,0.00175
258,116,0.001813,113,0.001766
259,117,0.001828,114,0.001781
260,116,0.001813,113,0.001766
261,116,0.001813,113,0.001766
262,117,0.001828,113,0.001766
263,116,0.001813,112,0.00175
264,115,0.001797,113,0.001766
265,115,0.001797,112,0.00175
266,115,0.001797,113,0.001766
267,115,0.001797,112,0.00175
268,115,0.001797,112,0.00175
269,116,0.001813,112,0.00175
270,116,0.001813,114,0.001781
271,115,0.001797,113,0.001766
272,116,0.001813,113,0.001766
273,116,0.001813,113,0.001766
274,116,0.001813,113,0.001766
275,116,0.001813,113,0.001766
276,115,0.001797,113,0.001766
277,115,0.001797,113,0.001766
278,116,0.001813,113,0.001766
