File Name,rxn00026.csv
Date,2022-05-28 11:35:08

[DATA]
time (s),oxy1_voltage (V),oxy1_O2 (%),oxy1_temp_voltage (V),oxy1_temp (C),oxy2_voltage (V),oxy2_O2 (%),oxy2_temp_voltage (V),oxy2_temp (C),bme_temp (C),pressure (kPa),humidity (%),flow1_voltage (V),flow1_flow (mL/min),flow2_voltage (V),flow2_flow (mL/min),PV (C),SV (C),Control Method,Output,PID profile,PID SV,P,I,D
1653737709,0.001375,0.05,1.076750,21.47,0.048797,20.51,1.057125,22.08,20.95,100.09,64.04,0.000000,0.11,0.000000,9.41,50.20,50.00,0,0,3,110.00,336,162,40
1653737710,0.001375,0.05,1.077000,21.47,0.048797,20.51,1.057250,22.07,20.95,100.09,63.89,0.024414,0.60,0.039063,13.19,50.20,50.00,0,231,3,110.00,336,162,40
1653737711,0.001375,0.05,1.077125,21.46,0.048797,20.51,1.057250,22.07,20.95,100.09,64.03,0.000000,0.11,0.004883,9.88,50.20,50.00,0,231,3,110.00,336,162,40
1653737712,0.001375,0.05,1.077000,21.47,0.048781,20.51,1.057250,22.07,20.96,100.09,64.06,0.000000,0.11,0.000000,9.41,50.30,50.00,0,231,3,110.00,336,162,40
1653737713,0.001375,0.05,1.077000,21.47,0.048812,20.52,1.057250,22.07,20.96,100.09,63.99,0.053711,1.19,0.000000,9.41,50.30,50.00,0,231,3,110.00,336,162,40
1653737714,0.001375,0.05,1.077125,21.46,0.048797,20.51,1.057250,22.07,20.96,100.09,64.02,0.000000,0.11,0.009766,10.35,50.30,50.00,0,207,3,110.00,336,162,40
1653737715,0.001375,0.05,1.077125,21.46,0.048812,20.52,1.057375,22.07,20.96,100.09,63.91,0.000000,0.11,0.000000,9.41,50.30,50.00,0,207,3,110.00,336,162,40
1653737716,0.001375,0.05,1.077125,21.46,0.048797,20.51,1.057375,22.07,20.96,100.09,63.99,0.000000,0.11,0.000000,9.41,50.40,50.00,0,207,3,110.00,336,162,40
1653737717,0.001375,0.05,1.076500,21.48,0.048797,20.51,1.056875,22.08,20.96,100.09,63.99,0.024414,0.60,0.039063,13.19,50.40,50.00,0,207,3,110.00,336,162,40
1653737718,0.001375,0.05,1.077000,21.47,0.048812,20.52,1.057250,22.07,20.97,100.09,64.05,0.000000,0.11,0.000000,9.41,50.50,50.00,0,201,3,110.00,336,162,40
1653737719,0.001375,0.05,1.077000,21.47,0.048812,20.52,1.057250,22.07,20.97,100.09,64.03,0.009766,0.31,0.024414,11.77,50.50,50.00,0,201,3,110.00,336,162,40
